announcements,withdrawals,nlri_ann,dups,origin_0,origin_2,origin_changes,imp_wd,imp_wd_spath,imp_wd_dpath,as_path_max,unique_as_path_max,edit_distance_avg,edit_distance_max,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_unique_dict_0,edit_distance_unique_dict_1,number_rare_ases,rare_ases_avg,nadas,flaps,label,Incident,window_start,window_end
4,2,4,0,0,0,0,1,0,1,9,2,1.0,1,0,1,0,0,0,0,0,0,1,9,0.3103448275862069,0,1,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:05:00,2018-04-24 10:05:01
19,2,19,0,0,0,0,1,0,1,19,2,2.0,2,0,0,1,0,0,0,0,0,0,19,0.13380281690140844,3,1,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:05:01,2018-04-24 10:05:02
69,4,69,0,0,0,0,0,0,0,10,2,1.8333333333333333,3,0,7,0,5,0,0,0,0,7,64,0.1679790026246719,28,0,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:05:02,2018-04-24 10:05:03
11,4,11,0,0,0,0,0,0,0,8,1,0.0,0,0,0,0,0,0,0,0,0,0,6,0.09375,4,0,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:05:03,2018-04-24 10:05:04
13,2,13,0,0,0,0,0,0,0,7,2,4.0,5,0,0,0,2,0,2,0,0,0,15,0.2054794520547945,5,2,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:05:04,2018-04-24 10:05:05
9,10,9,0,0,0,0,0,0,0,8,1,0.0,0,0,0,0,0,0,0,0,0,0,11,0.2,15,0,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:05:05,2018-04-24 10:05:06
12,0,12,0,0,0,0,0,0,0,11,1,0.0,0,0,0,0,0,0,0,0,0,0,14,0.17721518987341772,3,0,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:05:06,2018-04-24 10:05:07
120,6,120,0,0,0,0,1,0,1,12,2,5.0,5,0,0,0,0,0,1,0,0,0,59,0.11434108527131782,5,0,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:05:07,2018-04-24 10:05:08
15,1,15,0,0,0,0,0,0,0,10,2,4.0,4,0,0,0,0,1,0,0,0,0,15,0.15306122448979592,3,0,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:05:08,2018-04-24 10:05:09
118,56,118,0,0,0,0,0,0,0,11,2,3.5,4,0,0,0,1,1,0,0,0,0,80,0.11816838995568685,1,0,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:05:09,2018-04-24 10:05:10
30,3,30,0,0,0,0,0,0,0,10,2,3.0,3,0,0,0,5,0,0,0,0,0,25,0.13089005235602094,5,0,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:05:10,2018-04-24 10:05:11
32,0,32,0,0,0,0,0,0,0,10,2,3.0,3,0,0,0,2,0,0,0,0,0,13,0.05241935483870968,1,0,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:05:11,2018-04-24 10:05:12
29,3,29,0,0,0,0,0,0,0,8,2,2.0,2,0,0,1,0,0,0,0,0,0,28,0.1917808219178082,1,2,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:05:12,2018-04-24 10:05:13
7,14,7,0,0,0,0,0,0,0,6,2,3.0,3,0,0,0,1,0,0,0,0,0,16,0.5714285714285714,17,0,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:05:13,2018-04-24 10:05:14
61,1,61,0,0,0,0,0,0,0,11,1,0.0,0,0,0,0,0,0,0,0,0,0,22,0.04330708661417323,2,1,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:05:14,2018-04-24 10:05:15
16,2,16,0,0,0,0,0,0,0,6,1,0.0,0,0,0,0,0,0,0,0,0,0,16,0.21333333333333335,3,0,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:05:15,2018-04-24 10:05:16
17,7,17,0,0,0,0,0,0,0,9,2,3.0,3,0,0,0,2,0,0,0,0,0,11,0.12087912087912088,5,0,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:05:16,2018-04-24 10:05:17
12,0,12,0,0,0,0,0,0,0,6,1,0.0,0,0,0,0,0,0,0,0,0,0,11,0.16666666666666666,0,0,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:05:17,2018-04-24 10:05:18
95,1,95,0,0,0,1,1,0,1,7,2,2.5,4,0,1,0,0,1,0,0,0,1,28,0.08641975308641975,2,1,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:05:18,2018-04-24 10:05:19
5,0,5,0,0,0,0,0,0,0,6,2,1.0,1,0,1,0,0,0,0,0,0,1,13,0.5416666666666666,2,0,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:05:19,2018-04-24 10:05:20
3,0,3,0,0,0,0,0,0,0,7,1,0.0,0,0,0,0,0,0,0,0,0,0,15,0.8333333333333334,1,0,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:05:20,2018-04-24 10:05:21
11,9,11,0,0,0,0,0,0,0,10,2,4.0,4,0,0,0,0,4,0,0,0,0,13,0.15853658536585366,14,0,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:05:21,2018-04-24 10:05:22
145,34,145,0,0,0,0,0,0,0,21,2,2.2,3,0,1,2,2,0,0,0,0,1,67,0.059821428571428574,2,0,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:05:22,2018-04-24 10:05:23
34,13,34,1,0,0,0,1,0,1,12,2,2.142857142857143,3,0,3,0,4,0,0,0,0,2,41,0.18385650224215247,0,1,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:05:23,2018-04-24 10:05:24
18,1,18,0,0,0,0,0,0,0,11,2,3.0,3,0,0,0,1,0,0,0,0,0,22,0.17886178861788618,2,1,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:05:24,2018-04-24 10:05:25
32,2,32,0,0,0,0,0,0,0,15,2,4.0,4,0,0,0,0,3,0,0,0,0,28,0.1206896551724138,1,0,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:05:25,2018-04-24 10:05:26
172,9,172,0,0,0,0,0,0,0,22,3,3.2244897959183674,15,0,1,36,7,1,0,0,0,1,90,0.07148530579825259,7,5,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:05:26,2018-04-24 10:05:27
17,4,17,1,0,0,0,1,1,0,9,2,2.25,3,1,0,0,3,0,0,0,1,0,9,0.09782608695652174,2,0,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:05:27,2018-04-24 10:05:28
168,21,168,0,0,0,0,0,0,0,11,2,1.6666666666666667,3,1,0,1,1,0,0,0,1,0,89,0.10933660933660934,9,0,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:05:28,2018-04-24 10:05:29
22,2,22,0,0,0,0,0,0,0,12,2,3.0,3,0,0,0,2,0,0,0,0,0,13,0.07471264367816093,8,0,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:05:29,2018-04-24 10:05:30
6,0,6,0,0,0,0,0,0,0,9,1,0.0,0,0,0,0,0,0,0,0,0,0,7,0.1590909090909091,0,0,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:05:30,2018-04-24 10:05:31
15,0,15,0,0,0,0,0,0,0,11,1,0.0,0,0,0,0,0,0,0,0,0,0,6,0.040268456375838924,0,0,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:05:31,2018-04-24 10:05:32
39,24,39,0,0,0,0,0,0,0,12,1,0.0,0,0,0,0,0,0,0,0,0,0,38,0.14074074074074075,24,0,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:05:32,2018-04-24 10:05:33
4,15,4,0,0,0,0,0,0,0,12,1,0.0,0,0,0,0,0,0,0,0,0,0,11,0.2972972972972973,16,0,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:05:33,2018-04-24 10:05:34
15,2,15,0,0,0,0,2,0,2,10,3,3.5,5,0,0,1,1,1,1,0,0,0,21,0.23595505617977527,2,2,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:05:34,2018-04-24 10:05:35
7,5,7,0,0,0,0,0,0,0,9,1,0.0,0,0,0,0,0,0,0,0,0,0,10,0.2222222222222222,10,0,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:05:35,2018-04-24 10:05:36
49,3,49,0,0,0,0,0,0,0,10,2,3.0,3,0,0,0,1,0,0,0,0,0,25,0.060240963855421686,0,1,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:05:36,2018-04-24 10:05:37
4,0,4,0,0,0,0,0,0,0,6,1,0.0,0,0,0,0,0,0,0,0,0,0,10,0.5882352941176471,0,0,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:05:37,2018-04-24 10:05:38
10,8,10,0,0,0,1,0,0,0,9,2,4.0,4,0,0,0,0,1,0,0,0,0,23,0.48936170212765956,10,0,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:05:38,2018-04-24 10:05:39
117,6,117,0,0,0,0,0,0,0,12,3,3.5714285714285716,4,0,0,1,1,5,0,0,0,0,77,0.0945945945945946,1,0,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:05:39,2018-04-24 10:05:40
4,1,4,0,0,0,0,0,0,0,9,1,0.0,0,0,0,0,0,0,0,0,0,0,16,0.7619047619047619,0,0,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:05:40,2018-04-24 10:05:41
20,0,20,0,0,0,0,0,0,0,10,1,0.0,0,0,0,0,0,0,0,0,0,0,13,0.11206896551724138,0,0,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:05:41,2018-04-24 10:05:42
